,Type,Contribution,SP500_Close,Shares_Bought,Cumulative_Shares,Cumulative_Invested,Cumulative_Value
2010-07-22,Fixed_DCA,475.0000,83.5765,5.6834,5.6834,475.0000,475.0000
2010-08-01,Fixed_DCA,475.0000,84.1950,5.6417,11.3251,950.0000,953.5149
2010-09-01,Fixed_DCA,475.0000,82.8130,5.7358,17.0609,1425.0000,1412.8636
2010-10-01,Fixed_DCA,475.0000,87.9772,5.3991,22.4600,1900.0000,1975.9699
2010-11-01,Fixed_DCA,475.0000,90.9862,5.2206,27.6806,2375.0000,2518.5536
2010-12-01,Fixed_DCA,475.0000,92.8900,5.1136,32.7942,2850.0000,3046.2498
2011-01-01,Fixed_DCA,475.0000,97.0362,4.8951,37.6893,3325.0000,3657.2208
2011-02-01,Fixed_DCA,475.0000,100.8867,4.7082,42.3975,3800.0000,4277.3463
2011-03-01,Fixed_DCA,475.0000,101.0333,4.7014,47.0989,4275.0000,4758.5617
2011-04-01,Fixed_DCA,475.0000,103.1928,4.6030,51.7020,4750.0000,5335.2682
2011-05-01,Fixed_DCA,475.0000,105.7348,4.4924,56.1943,5225.0000,5941.6981
2011-06-01,Fixed_DCA,475.0000,102.2007,4.6477,60.8420,5700.0000,6218.1016
2011-07-01,Fixed_DCA,475.0000,104.3041,4.5540,65.3960,6175.0000,6821.0745
2011-08-01,Fixed_DCA,475.0000,100.3008,4.7358,70.1318,6650.0000,7034.2743
2011-08-02,Extra_Extreme_Dip+Extra_Pullback,475.0000,97.7383,4.8599,74.9917,7125.0000,7329.5637
2011-08-03,Extra_Pullback,175.0000,98.2680,1.7808,76.7726,7300.0000,7544.2829
2011-08-04,Extra_Extreme_Dip+Extra_Pullback+Extra_Purple,725.0000,93.6650,7.7404,84.5129,8025.0000,7915.8985
2011-08-05,Extra_Extreme_Dip+Extra_Pullback,475.0000,93.5248,5.0789,89.5918,8500.0000,8379.0493
2011-08-08,Extra_Purple,250.0000,87.4341,2.8593,92.4511,8750.0000,8083.3790
2011-09-01,Fixed_DCA,475.0000,94.1946,5.0428,97.4938,9225.0000,9183.3908
2011-10-01,Fixed_DCA,475.0000,88.5832,5.3622,102.8560,9700.0000,9111.3194
2011-11-01,Fixed_DCA,475.0000,95.5118,4.9732,107.8292,10175.0000,10298.9586
2011-12-01,Fixed_DCA,475.0000,97.8369,4.8550,112.6842,10650.0000,11024.6785
2012-01-01,Fixed_DCA,475.0000,98.8750,4.8040,117.4883,11125.0000,11616.6510
2012-02-01,Fixed_DCA,475.0000,104.3663,4.5513,122.0396,11600.0000,12736.8156
2012-03-01,Fixed_DCA,475.0000,108.5104,4.3775,126.4170,12075.0000,13717.5594
2012-04-01,Fixed_DCA,475.0000,111.4231,4.2630,130.6801,12550.0000,14560.7777
2012-05-01,Fixed_DCA,475.0000,111.3678,4.2651,134.9452,13025.0000,15028.5444
2012-05-16,Extra_Extreme_Dip,300.0000,105.1085,2.8542,137.7994,13325.0000,14483.8942
2012-05-17,Extra_Extreme_Dip,300.0000,103.5497,2.8972,140.6966,13625.0000,14569.0820
2012-05-18,Extra_Extreme_Dip,300.0000,102.6634,2.9222,143.6187,13925.0000,14744.3871
2012-06-01,Fixed_DCA,475.0000,101.4131,4.6838,148.3025,14400.0000,15039.8242
2012-07-01,Fixed_DCA,475.0000,108.2541,4.3878,152.6904,14875.0000,16529.3601
2012-08-01,Fixed_DCA,475.0000,109.4393,4.3403,157.0307,15350.0000,17185.3200
2012-09-01,Fixed_DCA,475.0000,112.2788,4.2305,161.2612,15825.0000,18106.2182
2012-10-01,Fixed_DCA,475.0000,115.4290,4.1151,165.3763,16300.0000,19089.2245
2012-11-01,Fixed_DCA,475.0000,114.2136,4.1589,169.5352,16775.0000,19363.2248
2012-12-01,Fixed_DCA,475.0000,113.6698,4.1788,173.7139,17250.0000,19746.0367
2013-01-01,Fixed_DCA,475.0000,114.6854,4.1418,177.8557,17725.0000,20397.4556
2013-02-01,Fixed_DCA,475.0000,121.7964,3.9000,181.7557,18200.0000,22137.1808
2013-03-01,Fixed_DCA,475.0000,122.4970,3.8776,185.6333,18675.0000,22739.5270
2013-04-01,Fixed_DCA,475.0000,126.2289,3.7630,189.3963,19150.0000,23907.2911
